故障编码,故障名称,故障下级编码,验证方法,故障原因,解决方法,逻辑类型,来源,源文档行号,故障现象
kvcache_conn_fault_001,KVCache通断异常,kvcache_conn_fault_002、kvcache_conn_fault_008、kvcache_conn_fault_013、kvcache_conn_fault_014、kvcache_conn_fault_022、kvcache_conn_fault_031、kvcache_conn_fault_038、kvcache_conn_fault_044,查询KVCache错误码非0或code=0但respMsg含NOT_FOUND,向下级匹配。,向下级匹配。,composite,08-fault-triage-consolidated.md L12-L14；10-customer-fault-scenarios.md L40-L42,L82-L97,"case 1: 描述: 在uniq -c输出中，第二列(code)有非0值 命令: grep ""DS_KV_CLIENT_PUT\|DS_KV_CLIENT_GET"" $LOG/ds_client_access_*.log | awk -F'|' '{print $1}' | sort | uniq -c 检查方式: has_nonzero_code
case 2: 描述: code=0但respMsg含NOT_FOUND或Can't find object 命令: grep ""DS_KV_CLIENT_PUT\|DS_KV_CLIENT_GET"" $LOG/ds_client_access_*.log 检查方式: code_zero_with_not_found"
kvcache_conn_fault_002,用户侧错误,kvcache_conn_fault_003、kvcache_conn_fault_004、kvcache_conn_fault_005、kvcache_conn_fault_006、kvcache_conn_fault_007,KVCache错误码为2(K_INVALID)、3(K_NOT_FOUND)或8(K_NOT_READY),向下级匹配。,向下级匹配。,uniq_code,08-fault-triage-consolidated.md L73-L74；10-customer-fault-scenarios.md L78-L80,L99-L108,"错误码为: 2, 3, 8"
kvcache_conn_fault_003,参数非法,,access log错误码为2(K_INVALID)或INFO log含K_INVALID及参数校验失败描述,业务参数非法,业务校验,composite,08-fault-triage-consolidated.md L175-L176；10-customer-fault-scenarios.md L127-L130,L110-L127,"case 1: 描述: access log中code=2且respMsg含参数校验失败描述 命令: grep '^2 |' $LOG/ds_client_access_*.log 检查方式: field_contains 关键字: The objectKey is empty、dataSize should be bigger than zero、length not match 字段: respMsg
case 2: 描述: INFO log含K_INVALID 命令: grep 'K_INVALID' $LOG/ds_client_*.INFO.log 检查方式: non_empty"
kvcache_conn_fault_004,未配置Init,,INFO log含ConnectOptions was not configured,未配置Init,检查Init,grep,08-fault-triage-consolidated.md L177；10-customer-fault-scenarios.md L131-L132,L129-L138,关键字: ConnectOptions was not configured
kvcache_conn_fault_005,buffer重复Publish,,INFO log含Client object is already sealed,buffer重复Publish,检查业务逻辑,grep,08-fault-triage-consolidated.md L178；10-customer-fault-scenarios.md L133-L134,L140-L149,关键字: Client object is already sealed
kvcache_conn_fault_006,批次超限,,access log含OBJECT_KEYS_MAX_SIZE_LIMIT,批次超限,拆batch,grep,08-fault-triage-consolidated.md L179；10-customer-fault-scenarios.md L135-L136,L151-L160,关键字: OBJECT_KEYS_MAX_SIZE_LIMIT
kvcache_conn_fault_007,对象不存在,,INFO log含K_NOT_FOUND或Can't find object，或access log code=0但respMsg含NOT_FOUND,对象不存在,业务自查key；检查业务是否先Put再Get、key生成逻辑、TTL是否提前过期,composite,08-fault-triage-consolidated.md L180；10-customer-fault-scenarios.md L273-L280,L162-L183,"case 1: 描述: INFO log含K_NOT_FOUND或Can't find object 命令: grep -E 'K_NOT_FOUND|Can.?t find object' $LOG/ds_client_*.INFO.log 检查方式: non_empty
case 2: 描述: access log中code=0但respMsg含NOT_FOUND或Can't find object 命令: grep ""DS_KV_CLIENT_GET"" $LOG/ds_client_access_*.log 检查方式: code_zero_with_not_found"
kvcache_conn_fault_008,DS进程内错误,kvcache_conn_fault_009、kvcache_conn_fault_010、kvcache_conn_fault_011、kvcache_conn_fault_012,KVCache错误码为19(K_TRY_AGAIN)、23(K_CLIENT_WORKER_DISCONNECT)、29(K_SERVER_FD_CLOSED)、31(K_SCALE_DOWN)或32(K_SCALING),向下级匹配。,向下级匹配。,uniq_code,08-fault-triage-consolidated.md L73-L74；10-customer-fault-scenarios.md L78-L80,L185-L194,"错误码为: 19, 23, 29, 31, 32"
kvcache_conn_fault_009,对端处理慢/拒绝,,INFO log含[RPC_RECV_TIMEOUT]且ZMQ fault=0，或含[RPC_SERVICE_UNAVAILABLE],对端Worker处理慢或主动拒绝，线程池打满,查Worker CPU/锁；扩oc_rpc_thread_num,composite,08-fault-triage-consolidated.md L120-L121；10-customer-fault-scenarios.md L172-L173,L196-L213,"case 1: 描述: [RPC_RECV_TIMEOUT]且ZMQ fault=0
case 2: 描述: [RPC_SERVICE_UNAVAILABLE] 命令: grep '\[RPC_SERVICE_UNAVAILABLE\]' $LOG/datasystem_worker.INFO.log $LOG/ds_client_*.INFO.log | tail -50 检查方式: non_empty"
kvcache_conn_fault_010,ZMQ相关问题（重建/断开/握手）,,INFO log含zmq_gateway_recreate_total或zmq_event_disconnect_total或zmq_event_handshake_failure_total上升，且对端Worker仍活,ZMQ连接重建/断开/握手失败。低频忽略（SDK自重连）；高频转OS查网络；握手失败查TLS/认证配置,低频忽略；高频查OS网络；握手失败查TLS/认证配置,composite,08-fault-triage-consolidated.md L196-L198,L215-L229,"case 1: 描述: ZMQ相关指标上升 命令: grep -E 'zmq_gateway_recreate_total|zmq_event_disconnect_total|zmq_event_handshake_failure_total' $LOG/datasystem_worker.INFO.log | tail -50
case 2: 描述: 对端Worker仍活 命令: pgrep -af datasystem_worker 检查方式: non_empty"
kvcache_conn_fault_011,三方etcd（信号出现在DS日志中）,,INFO log含etcd is timeout或etcd is unavailable,etcd集群或到etcd的网络异常。主责三方etcd,systemctl status etcd；etcdctl endpoint status；查到etcd的网络,grep,08-fault-triage-consolidated.md L199-L200；10-customer-fault-scenarios.md L161-L162,L231-L244,关键字: etcd is timeout|etcd is unavailable
kvcache_conn_fault_012,心跳/生命周期/扩缩容,,INFO log含Cannot receive heartbeat from worker或HealthCheck Worker is exiting now或meta_is_moving,心跳断→Worker被STOP；退出由编排拉起；扩缩容中SDK自重试,心跳断→kill -CONT <pid>；退出由编排拉起；扩缩容SDK自重试,grep,08-fault-triage-consolidated.md L202-L204；10-customer-fault-scenarios.md L621-L632,L246-L258,关键字: Cannot receive heartbeat from worker|Worker is exiting now|meta_is_moving
